               111 學年度學科能力測驗
                自然考科選擇題答案


    題號    答案      題號   答案    題號     答案

     1    B       21   ACE     41   D
     2    BE      22   BC      42   ABE
     3    B       23   CD      43    C
     4    DE      24   CD      44   AB
     5    A       25   CDE     45   ／

     6    BE      26   CD      46   ACD
     7    D       27   BCE     47   CD
     8    BE      28   AE      48   ／

     9    B       29   D       49   BD
     10   A       30   CE      50   D
     11   C       31   A       51   ／

     12   AE      32   ADE     52    B
     13   E       33   D       53   A
     14   C       34   BCE     54   ／

     15   D       35    C      55   ADE
     16   B       36   A       56   ABE
     17   AE      37   CE      57   ／

     18   AD      38   ／       58   A
     19   B       39   AD      59   AD
     20   BC      40   ／       60   ／


※答案「／」者，表示該題為非選擇題。

