          九十九學年度學科能力測驗

          自然考科選擇題參考答案


題號   答案   題號   答案    題號   答案      題號   答案
1    B    21   C     41   BCE     61   B
2    B    22   D     42   ABD     62   AD
3    B    23   D     43    A      63   B
4    D    24   D     44    B      64   B
5    B    25    E    45    BD     65   B
6    C    26   A     46     E     66   C
7    B    27    B    47    A      67   D
8    D    28    C    48    CE     68   A
9    A    29   D     49   BDEFH
10   C    30    B    50    AE
11   D    31    B    51    C
12   D    32   D     52    C
13   C    33   AC    53    AE
14   B    34   BDE   54    C
15   D    35   AC    55   BDEF
16   D    36   CD    56    AE
17   B    37   BD    57    C
18   D    38   DE    58    C
19   D    39   CDE   59    D
20   C    40   ABD   60     B

